"regime","rep","inv","temp","n"
"Stable","SW_1","AS",16,26
"Stable","SW_1","AM",16,24
"Stable","SW_1","AS",16,23
"Stable","SW_1","AM",16,14
"Stable","SW_1","AS",16,22
"Stable","SW_1","AS",20,56
"Stable","SW_1","AS",20,81
"Stable","SW_1","AM",20,36
"Stable","SW_1","AS",20,65
"Stable","SW_1","AS",20,62
"Stable","SW_1","AS",28,603
"Stable","SW_1","AM",28,445
"Stable","SW_1","AS",28,385
"Stable","SW_1","AM",28,428
"Stable","SW_1","AS",28,399
"Stable","SW_1","AS",36,43
"Stable","SW_1","AS",36,19
"Stable","SW_1","AS",36,41
"Stable","SW_1","AM",36,40
"Stable","SW_1","AS",36,32
"Stable","SW_2","AM",16,22
"Stable","SW_2","AS",16,30
"Stable","SW_2","KK",16,14
"Stable","SW_2","AS",16,27
"Stable","SW_2","AS",16,34
"Stable","SW_2","AS",20,57
"Stable","SW_2","AM",20,56
"Stable","SW_2","AS",20,81
"Stable","SW_2","AS",20,68
"Stable","SW_2","AS",20,64
"Stable","SW_2","AM",28,246
"Stable","SW_2","AS",28,440
"Stable","SW_2","AS",28,362
"Stable","SW_2","AS",28,480
"Stable","SW_2","KK",28,255
"Stable","SW_2","AS",36,43
"Stable","SW_2","AM",36,13
"Stable","SW_2","AS",36,31
"Stable","SW_2","AS",36,12
"Stable","SW_2","AS",36,52
"Stable","SW_3","AS",16,34
"Stable","SW_3","AM",16,46
"Stable","SW_3","KK",16,19
"Stable","SW_3","AS",16,26
"Stable","SW_3","AS",16,31
"Stable","SW_3","AS",20,59
"Stable","SW_3","AS",20,37
"Stable","SW_3","AM",20,35
"Stable","SW_3","AS",20,65
"Stable","SW_3","AS",20,57
"Stable","SW_3","AS",28,306
"Stable","SW_3","AM",28,461
"Stable","SW_3","KK",28,222
"Stable","SW_3","AS",28,384
"Stable","SW_3","AM",28,417
"Stable","SW_3","AS",36,33
"Stable","SW_3","AS",36,34
"Stable","SW_3","AS",36,49
"Stable","SW_3","AS",36,35
"Stable","SW_3","AS",36,13
"Stable","SW_4","AS",16,29
"Stable","SW_4","AS",16,23
"Stable","SW_4","AM",16,14
"Stable","SW_4","KK",16,28
"Stable","SW_4","AS",16,24
"Stable","SW_4","AS",20,65
"Stable","SW_4","AS",20,72
"Stable","SW_4","AS",20,71
"Stable","SW_4","AS",20,59
"Stable","SW_4","AS",20,44
"Stable","SW_4","AM",28,444
"Stable","SW_4","KK",28,204
"Stable","SW_4","AS",28,425
"Stable","SW_4","AM",28,263
"Stable","SW_4","AS",28,492
"Stable","SW_4","AS",36,37
"Stable","SW_4","AM",36,23
"Stable","SW_4","AS",36,42
"Stable","SW_4","AS",36,29
"Stable","SW_4","AS",36,45
"Stable","SW_5","AM",16,21
"Stable","SW_5","KK",16,26
"Stable","SW_5","AS",16,32
"Stable","SW_5","AM",16,25
"Stable","SW_5","AS",16,41
"Stable","SW_5","AS",20,58
"Stable","SW_5","KK",20,40
"Stable","SW_5","AM",20,53
"Stable","SW_5","AS",20,42
"Stable","SW_5","AS",20,76
"Stable","SW_5","KK",28,294
"Stable","SW_5","AS",28,524
"Stable","SW_5","AM",28,344
"Stable","SW_5","AS",28,218
"Stable","SW_5","AS",28,515
"Stable","SW_5","AM",36,14
"Stable","SW_5","AS",36,25
"Stable","SW_5","AM",36,16
"Stable","SW_5","AS",36,24
"Stable","SW_5","AS",36,23
"Stable","SW_6","AM",16,26
"Stable","SW_6","AS",16,59
"Stable","SW_6","KK",16,33
"Stable","SW_6","AS",16,36
"Stable","SW_6","AS",16,29
"Stable","SW_6","AS",20,52
"Stable","SW_6","AM",20,42
"Stable","SW_6","AS",20,56
"Stable","SW_6","AS",20,46
"Stable","SW_6","AS",20,59
"Stable","SW_6","AM",28,796
"Stable","SW_6","AS",28,536
"Stable","SW_6","KK",28,420
"Stable","SW_6","AS",28,511
"Stable","SW_6","AS",28,412
"Stable","SW_6","AM",36,22
"Stable","SW_6","AS",36,19
"Stable","SW_6","AS",36,40
"Stable","SW_6","AS",36,12
"Stable","SW_6","AS",36,19
"Stable","SW_7","AS",16,15
"Stable","SW_7","AM",16,25
"Stable","SW_7","KK",16,26
"Stable","SW_7","AS",16,25
"Stable","SW_7","AM",16,28
"Stable","SW_7","AS",20,46
"Stable","SW_7","AM",20,59
"Stable","SW_7","KK",20,46
"Stable","SW_7","AS",20,44
"Stable","SW_7","AS",20,69
"Stable","SW_7","AS",28,512
"Stable","SW_7","AS",28,598
"Stable","SW_7","KK",28,318
"Stable","SW_7","AS",28,568
"Stable","SW_7","AM",28,274
"Stable","SW_7","AM",36,25
"Stable","SW_7","AS",36,16
"Stable","SW_7","KK",36,12
"Stable","SW_7","AS",36,35
"Stable","SW_7","AM",36,38
"Stable","SW_8","AM",16,30
"Stable","SW_8","AS",16,48
"Stable","SW_8","KK",16,27
"Stable","SW_8","AS",16,41
"Stable","SW_8","AS",16,29
"Stable","SW_8","AS",20,72
"Stable","SW_8","AM",20,49
"Stable","SW_8","AM",20,55
"Stable","SW_8","AS",20,68
"Stable","SW_8","AS",20,75
"Stable","SW_8","AM",28,283
"Stable","SW_8","AS",28,427
"Stable","SW_8","AM",28,233
"Stable","SW_8","AS",28,375
"Stable","SW_8","AS",28,526
"Stable","SW_8","AS",36,41
"Stable","SW_8","AS",36,39
"Stable","SW_8","AS",36,27
"Stable","SW_8","KK",36,21
"Stable","SW_8","AS",36,23
"Stable","SW_9","AM",16,37
"Stable","SW_9","AS",16,38
"Stable","SW_9","KK",16,24
"Stable","SW_9","AS",16,39
"Stable","SW_9","AS",16,34
"Stable","SW_9","AS",20,48
"Stable","SW_9","AM",20,43
"Stable","SW_9","AS",20,51
"Stable","SW_9","AS",20,71
"Stable","SW_9","AS",20,63
"Stable","SW_9","AM",28,353
"Stable","SW_9","AS",28,414
"Stable","SW_9","KK",28,321
"Stable","SW_9","AS",28,220
"Stable","SW_9","AS",28,303
"Stable","SW_9","AS",36,45
"Stable","SW_9","AS",36,37
"Stable","SW_9","AS",36,31
"Stable","SW_9","AM",36,23
"Stable","SW_9","AS",36,20
"Stable","SW_10","AM",16,23
"Stable","SW_10","AS",16,21
"Stable","SW_10","AM",16,34
"Stable","SW_10","AS",16,19
"Stable","SW_10","AS",16,14
"Stable","SW_10","AS",20,53
"Stable","SW_10","AS",20,42
"Stable","SW_10","KK",20,45
"Stable","SW_10","AS",20,41
"Stable","SW_10","AM",20,65
"Stable","SW_10","AM",28,322
"Stable","SW_10","AS",28,455
"Stable","SW_10","KK",28,222
"Stable","SW_10","AS",28,327
"Stable","SW_10","AS",28,334
"Stable","SW_10","AM",36,37
"Stable","SW_10","AS",36,17
"Stable","SW_10","AS",36,15
"Stable","SW_10","KK",36,32
"Stable","SW_10","AM",36,23
"Alternating","G_2","AS",16,22
"Alternating","G_2","KK",16,8
"Alternating","G_2","AS",16,26
"Alternating","G_2","KK",16,7
"Alternating","G_2","AS",16,19
"Alternating","G_2","AM",20,40
"Alternating","G_2","KK",20,32
"Alternating","G_2","AS",20,61
"Alternating","G_2","AS",20,48
"Alternating","G_2","AM",20,59
"Alternating","G_2","KK",28,206
"Alternating","G_2","AS",28,529
"Alternating","G_2","KK",28,181
"Alternating","G_2","AS",28,418
"Alternating","G_2","KK",28,256
"Alternating","G_2","AS",36,4
"Alternating","G_2","KK",36,2
"Alternating","G_2","AM",36,1
"Alternating","G_2","AS",36,6
"Alternating","G_2","AS",36,6
"Alternating","G_3","AS",16,17
"Alternating","G_3","AM",16,9
"Alternating","G_3","AS",16,2
"Alternating","G_3","AM",16,18
"Alternating","G_3","AS",16,4
"Alternating","G_3","AS",20,21
"Alternating","G_3","KK",20,17
"Alternating","G_3","AS",20,31
"Alternating","G_3","AM",20,20
"Alternating","G_3","AM",20,45
"Alternating","G_3","AS",28,122
"Alternating","G_3","AM",28,161
"Alternating","G_3","AS",28,300
"Alternating","G_3","AM",28,261
"Alternating","G_3","AS",28,287
"Alternating","G_3","AS",36,5
"Alternating","G_3","KK",36,3
"Alternating","G_3","AM",36,6
"Alternating","G_3","KK",36,4
"Alternating","G_3","AS",36,2
"Alternating","G_4","AS",16,29
"Alternating","G_4","KK",16,17
"Alternating","G_4","AS",16,14
"Alternating","G_4","AS",16,25
"Alternating","G_4","AS",16,21
"Alternating","G_4","KK",20,43
"Alternating","G_4","AS",20,47
"Alternating","G_4","AM",20,59
"Alternating","G_4","AS",20,39
"Alternating","G_4","AS",20,60
"Alternating","G_4","AS",28,283
"Alternating","G_4","AS",28,359
"Alternating","G_4","AS",28,202
"Alternating","G_4","KK",28,173
"Alternating","G_4","AS",28,180
"Alternating","G_4","AS",36,8
"Alternating","G_4","KK",36,4
"Alternating","G_4","AM",36,6
"Alternating","G_4","AS",36,3
"Alternating","G_4","AS",36,1
"Alternating","G_5","AS",16,11
"Alternating","G_5","AM",16,29
"Alternating","G_5","AS",16,23
"Alternating","G_5","AM",16,10
"Alternating","G_5","AS",16,13
"Alternating","G_5","AS",20,45
"Alternating","G_5","AS",20,63
"Alternating","G_5","KK",20,36
"Alternating","G_5","AM",20,20
"Alternating","G_5","AS",20,51
"Alternating","G_5","AS",28,364
"Alternating","G_5","AM",28,202
"Alternating","G_5","AS",28,199
"Alternating","G_5","AM",28,503
"Alternating","G_5","AS",28,222
"Alternating","G_5","KK",36,5
"Alternating","G_5","AS",36,4
"Alternating","G_5","AS",36,6
"Alternating","G_5","AM",36,2
"Alternating","G_5","AS",36,1
"Alternating","G_10","AS",16,29
"Alternating","G_10","AS",16,26
"Alternating","G_10","AS",16,19
"Alternating","G_10","KK",16,15
"Alternating","G_10","AS",16,22
"Alternating","G_10","AM",20,24
"Alternating","G_10","AS",20,47
"Alternating","G_10","KK",20,39
"Alternating","G_10","AS",20,33
"Alternating","G_10","AM",20,43
"Alternating","G_10","AS",28,170
"Alternating","G_10","KK",28,192
"Alternating","G_10","AS",28,437
"Alternating","G_10","AS",28,431
"Alternating","G_10","AS",28,510
"Alternating","G_10","AM",36,1
"Alternating","G_10","AS",36,5
"Alternating","G_10","AM",36,10
"Alternating","G_10","KK",36,6
"Alternating","G_10","AS",36,3
"Alternating","G_11","AS",16,17
"Alternating","G_11","AM",16,14
"Alternating","G_11","AS",16,25
"Alternating","G_11","AM",16,19
"Alternating","G_11","AS",16,18
"Alternating","G_11","KK",20,31
"Alternating","G_11","AM",20,51
"Alternating","G_11","AS",20,46
"Alternating","G_11","AM",20,29
"Alternating","G_11","AS",20,44
"Alternating","G_11","AS",28,410
"Alternating","G_11","AM",28,128
"Alternating","G_11","AS",28,465
"Alternating","G_11","AM",28,95
"Alternating","G_11","AS",28,229
"Alternating","G_11","AS",36,2
"Alternating","G_11","AS",36,1
"Alternating","G_11","KK",36,6
"Alternating","G_11","AM",36,4
"Alternating","G_11","AS",36,5
"Alternating","G_15","AS",16,10
"Alternating","G_15","AM",16,8
"Alternating","G_15","AS",16,8
"Alternating","G_15","AM",16,15
"Alternating","G_15","AS",16,9
"Alternating","G_15","AS",20,23
"Alternating","G_15","KK",20,43
"Alternating","G_15","AS",20,31
"Alternating","G_15","AM",20,10
"Alternating","G_15","AS",20,17
"Alternating","G_15","AS",28,238
"Alternating","G_15","AM",28,420
"Alternating","G_15","AS",28,351
"Alternating","G_15","AM",28,440
"Alternating","G_15","AS",28,308
"Alternating","G_15","AM",36,3
"Alternating","G_15","KK",36,4
"Alternating","G_15","AS",36,4
"Alternating","G_15","AM",36,6
"Alternating","G_15","AS",36,2
"Alternating","G_17","AS",16,29
"Alternating","G_17","AM",16,17
"Alternating","G_17","AS",16,11
"Alternating","G_17","AM",16,11
"Alternating","G_17","AS",16,13
"Alternating","G_17","AS",20,47
"Alternating","G_17","KK",20,32
"Alternating","G_17","AS",20,37
"Alternating","G_17","AM",20,35
"Alternating","G_17","AS",20,26
"Alternating","G_17","AS",28,437
"Alternating","G_17","AM",28,311
"Alternating","G_17","AS",28,344
"Alternating","G_17","AM",28,358
"Alternating","G_17","AS",28,391
"Alternating","G_17","KK",36,6
"Alternating","G_17","AS",36,4
"Alternating","G_17","AS",36,6
"Alternating","G_17","AM",36,6
"Alternating","G_17","AS",36,3
"Alternating","G_18","KK",16,10
"Alternating","G_18","AS",16,27
"Alternating","G_18","KK",16,20
"Alternating","G_18","AS",16,17
"Alternating","G_18","KK",16,13
"Alternating","G_18","AM",20,30
"Alternating","G_18","AS",20,36
"Alternating","G_18","KK",20,22
"Alternating","G_18","AS",20,39
"Alternating","G_18","AS",20,49
"Alternating","G_18","AS",28,366
"Alternating","G_18","KK",28,126
"Alternating","G_18","AS",28,215
"Alternating","G_18","KK",28,312
"Alternating","G_18","AS",28,194
"Alternating","G_18","AS",36,5
"Alternating","G_18","AS",36,6
"Alternating","G_18","AS",36,14
"Alternating","G_18","KK",36,7
"Alternating","G_18","AM",36,4
"Alternating","G_21","AS",16,13
"Alternating","G_21","KK",16,24
"Alternating","G_21","AS",16,13
"Alternating","G_21","AS",16,36
"Alternating","G_21","AS",16,8
"Alternating","G_21","AS",20,27
"Alternating","G_21","KK",20,19
"Alternating","G_21","AS",20,31
"Alternating","G_21","KK",20,49
"Alternating","G_21","AM",20,39
"Alternating","G_21","AS",28,325
"Alternating","G_21","KK",28,151
"Alternating","G_21","AS",28,325
"Alternating","G_21","AS",28,340
"Alternating","G_21","AS",28,159
"Alternating","G_21","AS",36,4
"Alternating","G_21","AM",36,9
"Alternating","G_21","AS",36,3
"Alternating","G_21","KK",36,7
"Alternating","G_21","AM",36,6
"Stable","SW_1","ML",12,1
"Stable","SW_1","ML",12,4
"Stable","SW_1","ML",12,3
"Stable","SW_1","EP",12,6
"Stable","SW_1","EP",12,2
"Stable","SW_1","EP",24,123
"Stable","SW_1","EP",24,258
"Stable","SW_1","ML",24,157
"Stable","SW_1","ML",24,268
"Stable","SW_1","ML",24,289
"Stable","SW_1","ML",32,556
"Stable","SW_1","ML",32,367
"Stable","SW_1","EP",32,513
"Stable","SW_1","EP",32,766
"Stable","SW_1","EP",32,282
"Stable","SW_1","ML",40,0
"Stable","SW_1","ML",40,0
"Stable","SW_1","ML",40,0
"Stable","SW_1","ML",40,0
"Stable","SW_1","ML",40,0
"Stable","SW_2","ML",12,1
"Stable","SW_2","ML",12,2
"Stable","SW_2","ML",12,2
"Stable","SW_2","EP",12,4
"Stable","SW_2","EP",12,10
"Stable","SW_2","ML",24,132
"Stable","SW_2","ML",24,172
"Stable","SW_2","EP",24,110
"Stable","SW_2","EP",24,121
"Stable","SW_2","EP",24,137
"Stable","SW_2","ML",32,553
"Stable","SW_2","ML",32,337
"Stable","SW_2","EP",32,752
"Stable","SW_2","ML",32,632
"Stable","SW_2","EP",32,752
"Stable","SW_2","ML",40,0
"Stable","SW_2","ML",40,0
"Stable","SW_2","ML",40,0
"Stable","SW_2","ML",40,0
"Stable","SW_2","ML",40,0
"Stable","SW_3","EP",12,3
"Stable","SW_3","EP",12,6
"Stable","SW_3","EP",12,7
"Stable","SW_3","ML",12,4
"Stable","SW_3","ML",12,7
"Stable","SW_3","EP",24,219
"Stable","SW_3","EP",24,194
"Stable","SW_3","EP",24,189
"Stable","SW_3","ML",24,204
"Stable","SW_3","ML",24,93
"Stable","SW_3","ML",32,1088
"Stable","SW_3","ML",32,491
"Stable","SW_3","ML",32,991
"Stable","SW_3","ML",32,361
"Stable","SW_3","ML",32,588
"Stable","SW_3","ML",40,0
"Stable","SW_3","ML",40,0
"Stable","SW_3","ML",40,0
"Stable","SW_3","ML",40,0
"Stable","SW_3","ML",40,0
"Stable","SW_4","EP",12,4
"Stable","SW_4","EP",12,5
"Stable","SW_4","ML",12,4
"Stable","SW_4","ML",12,11
"Stable","SW_4","ML",12,8
"Stable","SW_4","ML",24,104
"Stable","SW_4","ML",24,89
"Stable","SW_4","EP",24,117
"Stable","SW_4","EP",24,125
"Stable","SW_4","EP",24,184
"Stable","SW_4","ML",32,284
"Stable","SW_4","ML",32,746
"Stable","SW_4","EP",32,579
"Stable","SW_4","EP",32,768
"Stable","SW_4","EP",32,721
"Stable","SW_4","ML",40,0
"Stable","SW_4","ML",40,0
"Stable","SW_4","ML",40,0
"Stable","SW_4","ML",40,0
"Stable","SW_4","ML",40,0
"Stable","SW_5","ML",12,1
"Stable","SW_5","ML",12,2
"Stable","SW_5","EP",12,5
"Stable","SW_5","EP",12,8
"Stable","SW_5","EP",12,9
"Stable","SW_5","ML",24,258
"Stable","SW_5","ML",24,185
"Stable","SW_5","ML",24,326
"Stable","SW_5","EP",24,143
"Stable","SW_5","EP",24,189
"Stable","SW_5","ML",32,596
"Stable","SW_5","ML",32,425
"Stable","SW_5","ML",32,753
"Stable","SW_5","ML",32,413
"Stable","SW_5","ML",32,604
"Stable","SW_5","ML",40,0
"Stable","SW_5","ML",40,0
"Stable","SW_5","ML",40,0
"Stable","SW_5","ML",40,0
"Stable","SW_5","ML",40,0
"Stable","SW_6","EP",12,5
"Stable","SW_6","EP",12,8
"Stable","SW_6","ML",12,2
"Stable","SW_6","ML",12,1
"Stable","SW_6","ML",12,0
"Stable","SW_6","ML",24,205
"Stable","SW_6","ML",24,191
"Stable","SW_6","ML",24,186
"Stable","SW_6","EP",24,314
"Stable","SW_6","EP",24,236
"Stable","SW_6","ML",32,515
"Stable","SW_6","ML",32,612
"Stable","SW_6","EP",32,283
"Stable","SW_6","EP",32,655
"Stable","SW_6","EP",32,1002
"Stable","SW_6","ML",40,0
"Stable","SW_6","ML",40,0
"Stable","SW_6","ML",40,0
"Stable","SW_6","ML",40,0
"Stable","SW_6","ML",40,0
"Stable","SW_7","EP",12,10
"Stable","SW_7","EP",12,6
"Stable","SW_7","EP",12,8
"Stable","SW_7","ML",12,9
"Stable","SW_7","ML",12,11
"Stable","SW_7","EP",24,109
"Stable","SW_7","EP",24,126
"Stable","SW_7","EP",24,192
"Stable","SW_7","ML",24,113
"Stable","SW_7","ML",24,257
"Stable","SW_7","EP",32,546
"Stable","SW_7","ML",32,758
"Stable","SW_7","ML",32,623
"Stable","SW_7","EP",32,361
"Stable","SW_7","ML",32,976
"Stable","SW_7","ML",40,0
"Stable","SW_7","ML",40,0
"Stable","SW_7","ML",40,0
"Stable","SW_7","ML",40,0
"Stable","SW_7","ML",40,0
"Stable","SW_8","EP",12,6
"Stable","SW_8","EP",12,4
"Stable","SW_8","EP",12,4
"Stable","SW_8","ML",12,0
"Stable","SW_8","ML",12,2
"Stable","SW_8","ML",24,138
"Stable","SW_8","ML",24,189
"Stable","SW_8","EP",24,174
"Stable","SW_8","EP",24,153
"Stable","SW_8","EP",24,203
"Stable","SW_8","EP",32,881
"Stable","SW_8","EP",32,801
"Stable","SW_8","ML",32,665
"Stable","SW_8","ML",32,882
"Stable","SW_8","EP",32,691
"Stable","SW_8","ML",40,0
"Stable","SW_8","ML",40,0
"Stable","SW_8","ML",40,0
"Stable","SW_8","ML",40,0
"Stable","SW_8","ML",40,0
"Stable","SW_9","ML",12,1
"Stable","SW_9","ML",12,6
"Stable","SW_9","ML",12,2
"Stable","SW_9","EP",12,3
"Stable","SW_9","EP",12,5
"Stable","SW_9","EP",24,184
"Stable","SW_9","EP",24,205
"Stable","SW_9","ML",24,107
"Stable","SW_9","ML",24,173
"Stable","SW_9","ML",24,239
"Stable","SW_9","EP",32,509
"Stable","SW_9","ML",32,495
"Stable","SW_9","ML",32,775
"Stable","SW_9","ML",32,498
"Stable","SW_9","ML",32,549
"Stable","SW_9","ML",40,0
"Stable","SW_9","ML",40,0
"Stable","SW_9","ML",40,0
"Stable","SW_9","ML",40,0
"Stable","SW_9","ML",40,0
"Stable","SW_10","ML",12,3
"Stable","SW_10","ML",12,4
"Stable","SW_10","EP",12,11
"Stable","SW_10","EP",12,3
"Stable","SW_10","EP",12,5
"Stable","SW_10","EP",24,174
"Stable","SW_10","EP",24,104
"Stable","SW_10","ML",24,197
"Stable","SW_10","ML",24,252
"Stable","SW_10","ML",24,181
"Stable","SW_10","ML",32,662
"Stable","SW_10","ML",32,456
"Stable","SW_10","EP",32,815
"Stable","SW_10","EP",32,554
"Stable","SW_10","EP",32,1014
"Stable","SW_10","ML",40,0
"Stable","SW_10","ML",40,0
"Stable","SW_10","ML",40,0
"Stable","SW_10","ML",40,0
"Stable","SW_10","ML",40,0
"Alternating","G_2","ML",12,1
"Alternating","G_2","ML",12,1
"Alternating","G_2","EP",12,2
"Alternating","G_2","EP",12,2
"Alternating","G_2","EP",12,3
"Alternating","G_2","ML",24,127
"Alternating","G_2","ML",24,101
"Alternating","G_2","ML",24,134
"Alternating","G_2","EP",24,205
"Alternating","G_2","EP",24,171
"Alternating","G_2","EP",32,631
"Alternating","G_2","EP",32,357
"Alternating","G_2","ML",32,360
"Alternating","G_2","ML",32,627
"Alternating","G_2","ML",32,399
"Alternating","G_2","ML",40,0
"Alternating","G_2","ML",40,0
"Alternating","G_2","ML",40,0
"Alternating","G_2","ML",40,0
"Alternating","G_2","ML",40,0
"Alternating","G_3","EP",12,4
"Alternating","G_3","EP",12,8
"Alternating","G_3","EP",12,3
"Alternating","G_3","ML",12,6
"Alternating","G_3","ML",12,1
"Alternating","G_3","ML",24,87
"Alternating","G_3","ML",24,69
"Alternating","G_3","ML",24,122
"Alternating","G_3","EP",24,176
"Alternating","G_3","EP",24,148
"Alternating","G_3","EP",32,278
"Alternating","G_3","EP",32,699
"Alternating","G_3","ML",32,801
"Alternating","G_3","ML",32,363
"Alternating","G_3","ML",32,844
"Alternating","G_3","ML",40,0
"Alternating","G_3","ML",40,0
"Alternating","G_3","ML",40,0
"Alternating","G_3","ML",40,0
"Alternating","G_3","ML",40,0
"Alternating","G_4","ML",12,1
"Alternating","G_4","ML",12,2
"Alternating","G_4","ML",12,4
"Alternating","G_4","EP",12,3
"Alternating","G_4","EP",12,1
"Alternating","G_4","ML",24,104
"Alternating","G_4","ML",24,141
"Alternating","G_4","EP",24,138
"Alternating","G_4","EP",24,103
"Alternating","G_4","EP",24,129
"Alternating","G_4","EP",32,621
"Alternating","G_4","EP",32,345
"Alternating","G_4","ML",32,543
"Alternating","G_4","ML",32,463
"Alternating","G_4","ML",32,262
"Alternating","G_4","ML",40,0
"Alternating","G_4","ML",40,0
"Alternating","G_4","ML",40,0
"Alternating","G_4","ML",40,0
"Alternating","G_4","ML",40,0
"Alternating","G_5","EP",12,0
"Alternating","G_5","EP",12,1
"Alternating","G_5","EP",12,3
"Alternating","G_5","ML",12,3
"Alternating","G_5","ML",12,1
"Alternating","G_5","ML",24,127
"Alternating","G_5","ML",24,89
"Alternating","G_5","EP",24,123
"Alternating","G_5","EP",24,91
"Alternating","G_5","EP",24,156
"Alternating","G_5","EP",32,686
"Alternating","G_5","EP",32,353
"Alternating","G_5","EP",32,634
"Alternating","G_5","ML",32,312
"Alternating","G_5","ML",32,359
"Alternating","G_5","ML",40,0
"Alternating","G_5","ML",40,0
"Alternating","G_5","ML",40,0
"Alternating","G_5","ML",40,0
"Alternating","G_5","ML",40,0
"Alternating","G_10","ML",40,0
"Alternating","G_10","ML",12,1
"Alternating","G_10","ML",12,2
"Alternating","G_10","ML",12,6
"Alternating","G_10","EP",12,0
"Alternating","G_10","EP",12,2
"Alternating","G_10","ML",24,128
"Alternating","G_10","ML",24,136
"Alternating","G_10","EP",24,156
"Alternating","G_10","EP",24,170
"Alternating","G_10","EP",24,117
"Alternating","G_10","EP",32,769
"Alternating","G_10","EP",32,306
"Alternating","G_10","EP",32,412
"Alternating","G_10","EP",32,309
"Alternating","G_10","EP",32,552
"Alternating","G_10","ML",40,0
"Alternating","G_10","ML",40,0
"Alternating","G_10","ML",40,0
"Alternating","G_10","ML",40,0
"Alternating","G_11","ML",40,0
"Alternating","G_11","EP",12,7
"Alternating","G_11","EP",12,6
"Alternating","G_11","ML",12,7
"Alternating","G_11","ML",12,0
"Alternating","G_11","ML",12,2
"Alternating","G_11","ML",24,117
"Alternating","G_11","ML",24,179
"Alternating","G_11","ML",24,90
"Alternating","G_11","EP",24,109
"Alternating","G_11","EP",24,85
"Alternating","G_11","EP",32,613
"Alternating","G_11","EP",32,368
"Alternating","G_11","ML",32,596
"Alternating","G_11","ML",32,718
"Alternating","G_11","ML",32,464
"Alternating","G_11","ML",40,0
"Alternating","G_11","ML",40,0
"Alternating","G_11","ML",40,0
"Alternating","G_11","ML",40,0
"Alternating","G_15","EP",12,3
"Alternating","G_15","EP",12,5
"Alternating","G_15","EP",12,3
"Alternating","G_15","ML",12,7
"Alternating","G_15","ML",12,6
"Alternating","G_15","ML",24,98
"Alternating","G_15","ML",24,64
"Alternating","G_15","EP",24,147
"Alternating","G_15","EP",24,150
"Alternating","G_15","EP",24,134
"Alternating","G_15","EP",32,443
"Alternating","G_15","EP",32,306
"Alternating","G_15","ML",32,574
"Alternating","G_15","ML",32,325
"Alternating","G_15","ML",32,207
"Alternating","G_15","ML",40,0
"Alternating","G_15","ML",40,0
"Alternating","G_15","ML",40,0
"Alternating","G_15","ML",40,0
"Alternating","G_15","ML",40,0
"Alternating","G_17","ML",12,2
"Alternating","G_17","ML",12,2
"Alternating","G_17","EP",12,3
"Alternating","G_17","EP",12,4
"Alternating","G_17","EP",12,1
"Alternating","G_17","ML",24,127
"Alternating","G_17","ML",24,101
"Alternating","G_17","ML",24,134
"Alternating","G_17","EP",24,116
"Alternating","G_17","EP",24,77
"Alternating","G_17","EP",32,387
"Alternating","G_17","EP",32,508
"Alternating","G_17","ML",32,650
"Alternating","G_17","ML",32,613
"Alternating","G_17","ML",32,343
"Alternating","G_17","ML",40,0
"Alternating","G_17","ML",40,0
"Alternating","G_17","ML",40,0
"Alternating","G_17","ML",40,0
"Alternating","G_17","ML",40,0
"Alternating","G_18","EP",12,2
"Alternating","G_18","EP",12,4
"Alternating","G_18","EP",12,6
"Alternating","G_18","ML",12,1
"Alternating","G_18","ML",12,2
"Alternating","G_18","ML",24,149
"Alternating","G_18","ML",24,199
"Alternating","G_18","ML",24,106
"Alternating","G_18","EP",24,116
"Alternating","G_18","EP",24,134
"Alternating","G_18","EP",32,402
"Alternating","G_18","EP",32,955
"Alternating","G_18","ML",32,708
"Alternating","G_18","ML",32,307
"Alternating","G_18","ML",32,442
"Alternating","G_18","ML",40,0
"Alternating","G_18","ML",40,0
"Alternating","G_18","ML",40,0
"Alternating","G_18","ML",40,0
"Alternating","G_18","ML",40,0
"Alternating","G_21","EP",12,7
"Alternating","G_21","EP",12,4
"Alternating","G_21","ML",12,1
"Alternating","G_21","ML",12,0
"Alternating","G_21","ML",12,3
"Alternating","G_21","EP",24,139
"Alternating","G_21","EP",24,122
"Alternating","G_21","EP",24,115
"Alternating","G_21","ML",24,129
"Alternating","G_21","ML",24,108
"Alternating","G_21","EP",32,470
"Alternating","G_21","EP",32,312
"Alternating","G_21","ML",32,596
"Alternating","G_21","EP",32,621
"Alternating","G_21","ML",32,532
"Alternating","G_21","ML",40,0
"Alternating","G_21","ML",40,0
"Alternating","G_21","ML",40,0
"Alternating","G_21","ML",40,0
"Alternating","G_21","ML",40,0
